Place_Id,Place_name,city,category,place_description,rating,label,picture
58,Tahu Pojok Magelang,Magelang,Food and Culinary,"Kupat Tahu Pojok Magelang is located at Jl. Tentara Pelajar No.14, Magelang City, Central Java. This shop has been established since 1942 and is a favorite restaurant of generals and artists. Kupat tahu has a predominantly sweet flavor. Price of kupat tahu is IDR 12,000 per serving",4.5,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-tahu-pojok-magelang.jpg
59,Mangut Beong Sehati,Magelang,Food and Culinary,"Rumah Makan Sehati is located 4 km from Borobudur Temple. The specialty of this restaurant is Mangut Beong. Mangut is a watery yet spicy dish like curry. Beong is a freshwater fish similar to catfish, but with a very large size. This restaurant is open from 08.00 a.m.",4.5,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-mangut-beong-sehati.jpg
60,Soto Sungeb,Purwokerta,Food and Culinary,"Soto Sungeb 1. is a must-visit place to eat when visiting Purwokerto. The location is near the station. Soto Sungeb has a unique taste, savory, and very addictive. located on Jl. RA Wiryaatmaja No.23 A, Pesayangan, Kedungwuluh, Kec. Purwokerto Bar., Banyumas Regency, Central Java. The operating hours are every day from 09.00-20.00.",4.5,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-soto-sungeb.jpg
61,Lokananta,Surakarta,Cultural and Historical,"Lokananta provides main facilities to support creative activities such as classical recording studios, meeting rooms, coworking spaces. Standard facilities provided are Internet, computers, library, places of worship, parking, meeting rooms, toilets. The main activities carried out are keroncong music performances, traditional music, contemporary music, photography, physical releases, and are supported by groups, communities, or activity actors such as the Record Store Community, Festival Mania, Perspective, Law Year.",4.7,City Tour,https://storage.googleapis.com/gonusa_image/City Tours-lokananta.jpg
62,Mangkunegaran,Surakarta,Cultural and Historical,"Apart from the Kasunanan Palace, the city of Solo also has a beautiful and magnificent palace, namely the Mangkunegaran Temple. The name Pura comes from Javanese which means palace or kingdom. Mangkunegaran Temple is the center of culture and arts in the city of Solo. Various valuable collections in the palace are believed to come from the Mataram and Majapahit Kingdoms.",4.7,City Tour,https://storage.googleapis.com/gonusa_image/City Tours-Pura-Mangkunegaran.jpg
63,Surakarta Hadiningrat Palace,Surakarta,Cultural and Historical,"A Javanese kingdom that ruled several centuries ago has become an icon of the city of Solo. This kingdom was called the Kasunanan Palace, founded by Susuhan Pakubuwono II (Sunan PB II) in 1744 as a replacement for the Kartasura Palace which was damaged by the Chinatown commotion in 1743. It has an area of around 54 acres and a large collection of statues, weapons and royal heirlooms. One of the interesting multi-storey buildings in the Kasunanan Palace is the Sanggabuwana Tower, said to be the place where the Queen of the South Seas met the King.",4.6,City Tour,https://storage.googleapis.com/gonusa_image/City Tours-surakarta-hadiningrat.jpeg
64,Solo Safari,Surakarta,Entertainment,"Solo Safari, formerly known as Taman Satwa Taru Jurug Surakarta, is one of the tourist attractions in Surakarta City, Central Java, which was built in 1878. Solo Safari is a beautiful place to take a break. Inside, there are various species of animals and plants. With the concept of nature tourism, the roads inside the park are surrounded by large and shady trees. Inside the park you can often see herds of monkeys and various species of birds. Solo Safari is located in the eastern part of Solo, near the border with Karanganyar. This tourist park replaced the Taru Jurug Surakarta Animal Park (TSTJ).",4,City Tour,
65,Semarang Old Town,Semarang,Cultural and Historical,Semarang Old City Tourism can be a choice of tourist destination in the capital of Central Java. The Old City area of Semarang was a trade center in the 19-20 century. In this place there are around 50 ancient buildings that still stand firmly and have a history of Colonialism in Semarang. The Old City is now an attractive tourist destination. Typical European buildings in the Semarang Old City tourist area are still well maintained. This 31 hectare area is an attraction for tourists who want to explore the history of Semarang during the colonial era.,4.7,City Tour,https://storage.googleapis.com/gonusa_image/others-kota-tua-semarang.jpg
66,Lawang Sewu,Semarang,Cultural and Historical,"Lawang Sewu is a historical building owned by PT Kereta Api Indonesia (Persero) which was originally used as the Head Office of the private railway company Nederlandsch-Indische Spoorweg Maatschappij (NISM). Currently, the Lawang Sewu Building is utilized as a museum that presents various collections from the period of railways in Indonesia. The collections on display include the Alkmaar collection, Edmonson machines, counting machines, typewriters, replicas of steam locomotives, valuable letters, and others. Lawang Sewu presents the restoration process of the Lawang Sewu building consisting of photos, videos, and restoration materials. Approaching the exit, there is a library containing books about trains.",4.6,City Tour,https://storage.googleapis.com/gonusa_image/othersLawang-Sewu-Semarang.jpg
67,Sam Poo Kong Chinese Temple,Semarang,Spiritual Tourism,"Sam Poo Kong Temple, also known as Gedung Batu Temple, is the oldest Chinese temple in Semarang, the capital of Central Java province. Sam Poo Kong Temple is the former stopover and first landing place of a Muslim Chinese Admiral named Zheng He/Cheng Ho, also known as Sam Poo.",4.5,City Tour,https://storage.googleapis.com/gonusa_image/others-sampookong.jpg
68,Semarang Old Town Museum,Semarang,Educational,"The Semarang Old City Museum showcases the history of the city of Semarang and exhibits objects from the past. This museum uses technology to display 3D screens that allow visitors to feel as if they have entered a virtual world and experience Semarang's history first hand. It is located at Jl. Cendrawasih No. 1A, Purwodinatan, Central Semarang District, Semarang City. This museum used to be a fountain at the Bubakan roundabout in Semarang, which was later converted into a history museum.",4.7,City Tour,
69,Saloka Theme Park,Semarang,Entertainment,"SALOKA hadir sebagai salah satu destinasi wisata Pesona Indonesia yang berbentuk taman rekreasi tematik keluarga di Jawa Tengah yang mengusung konsep kearifan lokal. Berlokasi di persimpangan antara kota Semarang, Salatiga, Surakarta dan Daerah Istimewa Yogyakarta. Harga tiket Saloka Weekdays Rp.120.000 dan Weekend dan hari Libur Nasional Rp.150.000.",4.4,City Tour,https://storage.googleapis.com/gonusa_image/others-saloka-theme-park-semarang.jpeg
70,Sonobudoyo Museum,Yogyakarta,Educational,"Museum Negeri Sonobudoyo merupakan Unit Pelaksana Teknis Daerah pada Dinas Kebudayaan Provinsi Daerah Istimewa Yogyakarta, mempunyai fungsi pengelolaan benda museum yang memiliki nilai budaya ilmiah, meliputi koleksi pengembangan dan bimbingan edukatif kultural. Sedangkan tugasnya adalah mengumpulkan, merawat, pengawetan, melaksanakan penelitian, pelayanan pustaka, bimbingan edukatif kultural serta penyajian benda koleksi Museum Negeri Sonobudoyo. Selasa - Minggu 08:00 WIB - 21:00 WIB
Senin Tutup. ",4.8,City Tour,https://storage.googleapis.com/gonusa_image/others-museum-sonobudoyo-yogyakarta.jpg
71,Taman Pintar Yogyakarta,Yogyakarta,Educational,"Taman Pintar Yogyakarta is a tourist attraction located in the centre of Yogyakarta, at Jalan Panembahan Senopati No. 1-3, Yogyakarta, in the Vredeburg Fort area. This park combines recreational and educational attractions in one place. Taman Pintar has a playground and educational facilities divided into several zones. Direct access to the former Book Centre shopping mall also adds value to Taman Pintar. This recreational area is very good for children during their developmental period.\nIn the past few years, Taman Pintar has become an alternative destination for people from Yogyakarta and outside the city. This park, especially in early childhood education, is equipped with digital interactive technology and video mapping to stimulate children's imagination and interest in technology. There are currently 35 zones and 3,500 educational game props.",4.5,City Tour,
72,Yogyakarta Palace,Yogyakarta,Cultural and Historical,"Ngayogyakarta Hadiningrat Palace or Yogyakarta Palace is the official palace of the Ngayogyakarta Hadiningrat Sultanate, now located in the city of Yogyakarta. The palace was founded by Sri Sultan Hamengkubuwana I in 1755 as the newly established Palace/Keraton of Yogyakarta due to the division of Islamic Mataram with the Giyanti Agreement. This palace is a fragment of the Surakarta Hadiningrat Palace of the Surakarta Islamic Mataram (Surakarta Kingdom). Thus, the Mataram dynasty is continued by 2 kingdoms, namely the Sultanate of Yogyakarta and the Sultanate of Surakarta. The total area of the Yogyakarta Palace is 144 hectares, which includes all areas within the Baluwarti Fort, Alun-alun Lor, Alun-alun Kidul, Gladak Gate and the Yogyakarta Gedhe Mosque complex. While the area of the Kedhaton (the core of the palace) reaches 13 hectares.",4.6,City Tour,
73,Gembira Loka Zoo,Yogyakarta,Entertainment,"Gembira Loka Zoo is a zoo located in the city of Yogyakarta. It contains a variety of species from around the world, such as orangutans, Asian elephants, chimpanzees, tigers, and so on. Gembira Loka Zoo is a special attraction for tourists in Yogyakarta. Gembira Loka Zoo was severely damaged by the 2006 Yogyakarta earthquake. However, after the renovation, Gembira Loka Zoo is still sought after by tourists.",4.5,City Tour,
74,Prambanan Temple,Yogyakarta,Cultural and Historical,"Prambanan Temple is a UNESCO World Heritage Site, the largest Hindu temple in Indonesia, as well as one of the most beautiful temples in Southeast Asia. Based on the Syiwagrha Inscription, the Prambanan Temple was built around the middle of the 9th century by the king of the Sanjaya Dynasty, King Balitung Maha Sambu. The original plan of Prambanan Temple is rectangular, consisting of an outer courtyard and three courts, namely Jaba (outer court), Tengahan (middle court), and Njeron (inner court). ",4.7,City Tour,https://storage.googleapis.com/gonusa_image/others-candi-perambanan.jpg
75,Borobudur Temple,Magelang,Cultural and Historical,"Borobudur is a Buddhist temple located in Borobudur, Magelang, Central Java, Indonesia. The temple is located approximately 100 km southwest of Semarang, 86 km west of Surakarta, and 40 km northwest of Yogyakarta. This stupa-shaped temple was built by Mahayana Buddhists around the 800s AD during the reign of the Syailendra dynasty. Borobudur is the largest Buddhist temple or shrine in the world and one of the largest Buddhist monuments in the world.\nThis monument consists of six square terraces on which are three circular courtyards, the walls are decorated with 2,672 relief panels and originally there were 504 Buddha statues. Borobudur has the most complete and largest collection of Buddhist reliefs in the world. The largest main stupa is in the centre and crowns the building, surrounded by three circular rows of 72 hollow stupas, each containing a statue of Buddha seated cross-legged in the perfect lotus position with the Dharmachakra mudra (hand gesture) (turning the wheel of Dharma). \This monument is a model of the universe and was built as a holy place to glorify Buddha and as a place of pilgrimage to lead humanity from the realm of worldly passions to enlightenment and wisdom according to Buddha's teachings. Pilgrims enter through the eastern side and begin the ritual at the base of the temple by walking in a clockwise circle around the sacred structure, progressing through the three levels of realms in Buddhist cosmology. The three levels are Kāmadhātu (the realm of desire), Rupadhatu (the tangible realm) and Arupadhatu (the immaterial realm). Along the way, pilgrims pass through a series of corridors and staircases, witnessing no fewer than 1,460 beautiful relief panels carved into the walls and balustrades.According to historical evidence, Borobudur was abandoned in the 14th century as the influence of the Hindu and Buddhist kingdoms in Java waned and Islam began to spread. The world became aware of its existence after it was discovered in 1814 by Sir Thomas Stamford Raffles, then the British Governor-General of Java. Since then, Borobudur has undergone a series of rescue and restoration efforts. The largest restoration project was carried out from 1975 to 1982 with the efforts of the Government of the Republic of Indonesia and UNESCO, after which this historic site was inscribed on the World Heritage List. Borobudur is still used as a place of religious pilgrimage; every year Buddhists from all over Indonesia and abroad gather at Borobudur to commemorate Trisuci Waisak. In the world of tourism, Borobudur is the most visited tourist attraction in Indonesia.",4.7,City Tour,https://storage.googleapis.com/gonusa_image/others-candi-borobudur.jpeg
76,New Selo Boyolali,Boyolali,Entertaiment,"New Selo is a popular natural tourist attraction in Boyolali, offering panoramic views and cool air. With various photo opportunities and interesting rides, the entrance fee for New Selo Boyolali itself is only IDR 10,000/person.",4.5,City Tour,
77,Merapi Garden Selo,Boyolali,Entertaiment,"Merapi Garden is a garden tour that offers mountain views and flower beds with calm and cool mountain air. This tourist attraction is located between Mount Merapi and Mount Merbabu. Administratively, it is located in Hamlet IV, Samiran Village, Selo District, Boyolali Regency, Central Java. The journey from the centre of Solo City takes about 90 minutes. The distance is not far, it is often a choice of holiday destination.",4.5,City Tour,
78,Batik Pekalongan Museum,Pekalongan,Educational,"Pekalongan Batik Museum is a batik museum located in Pekalongan, Central Java, Indonesia. The building of the museum is the former Pekalongan City Hall (1906), located in the city centre together with other important colonial buildings such as the church and the post office. The museum was officially established by the Ministry of Education and Culture of Central Java on 12 July 1972.",4.6,City Tour,
79,Kudus Tower Mosque,Kudus,Spiritual Tourism,"The Menara Kudus Mosque or Al-Aqsha Mosque is located in Kudus in the Indonesian province of Central Java. The Menara Kudus Mosque has a unique architecture, combining the architecture of Java and Hindu Islam",4.7,City Tour,
80,Kretek Museum,Kudus,Educational,"Kudus has the only kretek museum in Indonesia. This museum holds various collections that tell the story of the development of kretek in Java. The Kretek Museum was constructed on an area of 2.5 ha in 1986 on the initiative of Soepardjo Rustam, Governor of Central Java, when he visited Kudus and saw the great potential of kretek companies that were able to drive the economy of the people in the city. The museum holds 1,195 collections about the history of kretek, for example the work of Nitisemito who founded the Bal Tiga Cigarette Factory, company documents at that time, traditional cigarette making tools to those using modern technology, dioramas of types of clove tobacco, dioramas of cigarette making in factories, and so on.",4.3,City Tour,
